14.7155	14.4796	14.2254	13.954	13.6667	13.3649	13.0502	12.7242	12.3887	12.0454	11.6966	11.3443	10.991	10.639	10.2911	9.94998	9.61841	9.29926	8.99537	8.7095	8.44428	8.20212	7.98517	7.79521	7.63369	7.50158	7.39944	7.32742	7.28523	7.27223	7.28746	7.32972	7.39761	7.48963	7.60417	7.73959	7.89426	8.06652	8.25474	8.4573	8.67257	8.89894	9.13477	9.37843	9.62825	9.88259	10.1398	10.3981	10.6561	10.9119	11.1641	11.4111	11.6514	11.8836	12.1063	12.318	12.5177	12.7041
14.3859	14.1217	13.8389	13.5385	13.222	12.8907	12.5463	12.1905	11.825	11.4518	11.0731	10.6911	10.3085	9.92772	9.55172	9.18342	8.82589	8.48224	8.1556	7.84902	7.5654	7.30743	7.07745	6.87745	6.71381	6.58935	6.49199	6.42222	6.38058	6.36759	6.38384	6.42991	6.50645	6.61415	6.75374	6.91199	7.08595	7.27846	7.4878	7.71226	7.95016	8.19981	8.45951	8.72757	9.00225	9.28182	9.56455	9.84869	10.1325	10.4144	10.6925	10.9654	11.2315	11.4892	11.7372	11.9741	12.1985	12.4093
14.0368	13.7438	13.4316	13.1016	12.755	12.3934	12.0183	11.6316	11.235	10.8306	10.4207	10.0077	9.59416	9.18302	8.77727	8.38012	7.9949	7.62505	7.274	6.94515	6.64716	6.41347	6.20491	6.02195	5.86501	5.73456	5.63101	5.55484	5.5065	5.48649	5.49533	5.53357	5.60179	5.70065	5.83084	5.9931	6.18825	6.41719	6.68088	6.93372	7.1954	7.46948	7.75422	8.04783	8.34852	8.65447	8.96385	9.27484	9.58564	9.89445	10.1996	10.4993	10.7919	11.076	11.3501	11.6126	11.8624	12.0981
13.6701	13.3477	13.0056	12.6451	12.2677	11.8749	11.4682	11.0495	10.6207	10.1838	9.74135	9.29576	8.84985	8.40662	7.96935	7.54149	7.12669	6.72871	6.39596	6.10854	5.84544	5.60709	5.3939	5.20628	5.04461	4.90928	4.8007	4.71925	4.66536	4.63948	4.64207	4.67365	4.73475	4.82597	4.94797	5.10144	5.28717	5.50599	5.75884	6.04672	6.37074	6.70905	7.02005	7.34046	7.66838	8.00191	8.33914	8.67813	9.01699	9.35384	9.68686	10.0143	10.3344	10.6457	10.9465	11.2354	11.5111	11.7723
13.2879	12.9354	12.5628	12.1712	11.7623	11.3373	10.8981	10.4464	9.98418	9.51364	9.03721	8.55754	8.07755	7.60047	7.12976	6.66918	6.28126	5.94241	5.62715	5.33592	5.06912	4.82714	4.61035	4.41909	4.25371	4.11454	4.00194	3.91626	3.85786	3.82715	3.82456	3.85054	3.9056	3.99029	4.10521	4.25103	4.42848	4.63838	4.88159	5.1591	5.47196	5.82133	6.20848	6.60682	6.96329	7.32571	7.69204	8.06026	8.42834	8.79432	9.15628	9.51237	9.86084	10.2	10.5283	10.8442	11.1464	11.4335
12.8922	12.5092	12.1054	11.6822	11.2409	10.7831	10.3104	9.82465	9.32792	8.82242	8.31063	7.79533	7.27957	6.76675	6.29748	5.90911	5.54363	5.20152	4.88321	4.5891	4.31955	4.07487	3.8554	3.66144	3.49327	3.35119	3.2355	3.14651	3.08454	3.04996	3.04314	3.0645	3.1145	3.19365	3.30252	3.44173	3.61197	3.81401	4.0487	4.31697	4.61983	4.95842	5.33396	5.74779	6.20136	6.62762	7.02441	7.42313	7.82166	8.21791	8.60985	8.99558	9.37324	9.74111	10.0976	10.4411	10.7703	11.0838
12.4851	12.0712	11.6358	11.1802	10.706	10.2145	9.7075	9.1868	8.65447	8.11276	7.56424	7.01174	6.45847	6.00403	5.58996	5.19863	4.8305	4.486	4.16551	3.86937	3.59789	3.35136	3.13004	2.93419	2.76406	2.6199	2.50196	2.4105	2.34582	2.30821	2.29803	2.31565	2.36148	2.43601	2.53974	2.67328	2.83728	3.03246	3.25963	3.5197	3.81364	4.14255	4.50761	4.91014	5.35155	5.83339	6.33829	6.76889	7.19913	7.62681	8.04981	8.46612	8.87382	9.27115	9.65644	10.0281	10.3848	10.7251
12.0689	11.6237	11.1562	10.6679	10.1601	9.63426	9.09215	8.53558	7.9666	7.38751	6.80089	6.22368	5.76246	5.3233	4.90674	4.51325	4.14326	3.79714	3.47523	3.17781	2.90516	2.65751	2.43508	2.23809	2.06673	1.92122	1.80177	1.7086	1.64194	1.60208	1.58932	1.60398	1.64645	1.71716	1.81661	1.94534	2.10396	2.29318	2.51376	2.76658	3.05258	3.37281	3.72845	4.12075	4.55112	5.02106	5.53223	6.08639	6.56319	7.02349	7.47861	7.92644	8.36501	8.7925	9.20721	9.60757	9.99214	10.3596
11.6459	11.1691	10.6693	10.1477	9.60582	9.04507	8.46715	7.87387	7.2673	6.64971	6.05832	5.57261	5.10882	4.66752	4.24918	3.85425	3.48309	3.13604	2.81337	2.51535	2.24218	1.99406	1.77118	1.57369	1.40177	1.25556	1.13525	1.04102	0.973075	0.931638	0.916973	0.929381	0.969207	1.03685	1.13275	1.25743	1.41148	1.59555	1.81039	2.05682	2.33578	2.64827	2.99543	3.37851	3.79886	4.25798	4.75747	5.2991	5.88475	6.41068	6.89895	7.3792	7.8494	8.30769	8.75234	9.18178	9.59458	9.98941
11.2185	10.71	10.1775	9.62238	9.04598	8.4498	7.83546	7.20476	6.55974	5.94432	5.43447	4.94642	4.48074	4.03794	3.61848	3.22273	2.85102	2.50363	2.1808	1.88275	1.60964	1.36163	1.13886	0.941447	0.769517	0.623191	0.502603	0.407896	0.339238	0.29682	0.280867	0.291644	0.32946	0.394676	0.487709	0.609042	0.759226	0.938889	1.14874	1.38958	1.6623	1.9679	2.30748	2.68224	3.09353	3.54281	4.03166	4.56181	5.13515	5.75368	6.31379	6.82729	7.3298	7.81943	8.29446	8.7533	9.19455	9.6169
