11.9041	11.9235	11.9299	11.9236	11.905	11.8745	11.8323	11.779	11.7149	11.6404	11.5559	11.4619	11.3589	11.2474	11.1278	11.0007	10.8666	10.7262	10.5799	10.4285	10.2725	10.1126	9.94954	9.78391	9.61647	9.44793	9.27905	9.11055	8.94319	8.77773	8.61491	8.45547	8.30014	8.14962	8.0046	7.86573	7.73363	7.60888	7.49201	7.3835	7.28377	7.1932	7.11209	7.0407	6.9792	6.92772	6.88632	6.85499	6.8337	6.82232	6.8207	6.82863	6.84588	6.87215	6.90714	6.95051	7.00189	7.06091	7.12716	7.20023	7.27971	7.36516	7.45615	7.55223	7.65296	7.75789	7.86656	7.97851	8.09329	8.21042	8.32945	8.4499	8.5713	8.69317	8.81504	8.93643	9.05687	9.17588	9.29299	9.40771	9.51959	9.62816	9.73295	9.83352	9.9294	10.0202	10.1054	10.1846	10.2575	10.3235	10.3823	10.4336	10.4768	10.5117	10.538	10.5552	10.563	10.5611	10.5491	10.5269	10.494
11.8774	11.8833	11.876	11.856	11.8235	11.779	11.7229	11.6554	11.5771	11.4883	11.3895	11.2811	11.1637	11.0376	10.9035	10.7619	10.6134	10.4584	10.2977	10.1319	9.96165	9.78759	9.61045	9.43095	9.24984	9.06787	8.88582	8.70448	8.52462	8.34704	8.17254	8.0019	7.83588	7.67523	7.52069	7.37294	7.23263	7.10039	6.97676	6.86226	6.75733	6.6717	6.59523	6.52746	6.4685	6.41843	6.37735	6.34535	6.32253	6.30898	6.30482	6.31015	6.32507	6.3497	6.38415	6.42856	6.48303	6.54772	6.62275	6.70828	6.80391	6.89776	6.99751	7.10269	7.21284	7.32749	7.44616	7.56838	7.69368	7.82157	7.95157	8.08319	8.21596	8.34938	8.48295	8.61619	8.74861	8.87971	9.009	9.136	9.26023	9.38119	9.49843	9.61146	9.71984	9.82309	9.92078	10.0125	10.0977	10.1762	10.2473	10.3109	10.3664	10.4134	10.4517	10.4809	10.5006	10.5105	10.5103	10.4996	10.4782
11.8365	11.8286	11.8076	11.7736	11.7271	11.6685	11.5981	11.5163	11.4235	11.3202	11.2068	11.0838	10.9516	10.8108	10.6619	10.5054	10.342	10.1723	9.99678	9.81621	9.63126	9.44262	9.25103	9.05724	8.86203	8.6662	8.47054	8.2759	8.0831	7.89297	7.70636	7.52409	7.34698	7.17582	7.01139	6.85441	6.70559	6.58499	6.47265	6.36866	6.27309	6.18603	6.10757	6.03779	5.97678	5.92462	5.88141	5.84722	5.82217	5.80632	5.7998	5.80269	5.8151	5.83714	5.86891	5.91055	5.96216	6.02388	6.09584	6.17818	6.27105	6.37459	6.48898	6.61437	6.75094	6.87565	7.00467	7.13751	7.27367	7.41266	7.55398	7.69713	7.84161	7.98691	8.13252	8.27794	8.42267	8.56619	8.70799	8.84759	8.98447	9.11814	9.24811	9.3739	9.49504	9.61105	9.72149	9.8259	9.92384	10.0149	10.0986	10.1747	10.2426	10.302	10.3525	10.3939	10.4257	10.4475	10.4591	10.4602	10.4504
11.7817	11.7601	11.725	11.677	11.6163	11.5433	11.4585	11.3621	11.2547	11.1366	11.0084	10.8704	10.7232	10.5673	10.4033	10.2317	10.0531	9.86818	9.67752	9.48182	9.28179	9.07816	8.8717	8.66318	8.45343	8.24327	8.03355	7.82515	7.61893	7.41579	7.21661	7.02227	6.83363	6.65318	6.50661	6.36804	6.23756	6.11526	6.00121	5.89549	5.79819	5.70939	5.62916	5.55758	5.49474	5.44071	5.39558	5.35944	5.33236	5.31444	5.30577	5.30645	5.31657	5.33624	5.36557	5.40466	5.45363	5.51262	5.58174	5.66113	5.75093	5.85129	5.96237	6.08433	6.21734	6.36158	6.51725	6.68453	6.83354	6.98399	7.13698	7.29201	7.44855	7.60609	7.7641	7.92205	8.07942	8.2357	8.39035	8.54286	8.69271	8.8394	8.98241	9.12126	9.25545	9.3845	9.50795	9.62532	9.73618	9.84009	9.93662	10.0254	10.1059	10.1779	10.2409	10.2945	10.3385	10.3725	10.3961	10.4091	10.411
11.7137	11.6781	11.6289	11.5666	11.4915	11.4041	11.3046	11.1934	11.0711	10.9381	10.7947	10.6415	10.4791	10.3078	10.1284	9.94131	9.7472	9.5467	9.34049	9.12927	8.91375	8.69471	8.47293	8.24923	8.02446	7.7995	7.57523	7.35258	7.13245	6.9158	6.70356	6.5179	6.354	6.19796	6.04985	5.90976	5.77778	5.65397	5.53841	5.43118	5.33236	5.24201	5.16022	5.08705	5.02258	4.96689	4.92005	4.88214	4.85326	4.83347	4.82287	4.82154	4.82959	4.8471	4.87419	4.91096	4.95751	5.01398	5.08048	5.15714	5.24411	5.34151	5.44952	5.56828	5.69796	5.83873	5.99079	6.15433	6.32954	6.51665	6.70089	6.86817	7.03714	7.20728	7.37804	7.54888	7.71926	7.88864	8.05648	8.22225	8.38541	8.54543	8.7018	8.854	9.00153	9.1439	9.28062	9.41123	9.53526	9.65226	9.76181	9.86347	9.95684	10.0415	10.1171	10.1833	10.2397	10.2859	10.3217	10.3466	10.3605
11.633	11.5832	11.5198	11.4431	11.3534	11.2512	11.1369	11.0108	10.8734	10.7251	10.5664	10.3978	10.2197	10.0329	9.83766	9.63476	9.42478	9.20838	8.98624	8.75908	8.52766	8.29276	8.05521	7.81586	7.5756	7.33533	7.096	6.85857	6.62402	6.42719	6.24641	6.07333	5.90805	5.75065	5.60121	5.45979	5.32649	5.20137	5.0845	4.97596	4.8758	4.78411	4.70094	4.62637	4.56047	4.50331	4.45496	4.41549	4.38499	4.36353	4.3512	4.34807	4.35424	4.3698	4.39485	4.4295	4.47384	4.528	4.59209	4.66624	4.75058	4.84525	4.95039	5.06617	5.19274	5.33028	5.47897	5.63899	5.81054	5.99384	6.18911	6.39657	6.60773	6.79085	6.97474	7.15885	7.3426	7.52545	7.70684	7.8862	8.063	8.23669	8.40673	8.5726	8.73377	8.88974	9.04002	9.18411	9.32156	9.45189	9.57468	9.68948	9.79588	9.89348	9.98189	10.0607	10.1296	10.1883	10.2363	10.2734	10.2992
11.54	11.4759	11.3981	11.3068	11.2025	11.0854	10.9561	10.8148	10.6621	10.4983	10.324	10.1397	9.94581	9.74297	9.53172	9.31268	9.08649	8.85381	8.61534	8.37185	8.12409	7.87289	7.6191	7.36361	7.10734	6.85125	6.59632	6.37995	6.18266	5.99294	5.81089	5.63659	5.47011	5.31154	5.16094	5.01839	4.88395	4.75771	4.63971	4.53003	4.42872	4.33586	4.25151	4.17572	4.10857	4.05013	4.00045	3.95961	3.92768	3.90474	3.89085	3.88611	3.8906	3.9044	3.92761	3.96033	4.00266	4.0547	4.11658	4.18842	4.27034	4.36247	4.46497	4.57798	4.70165	4.83617	4.9817	5.13842	5.30654	5.48626	5.67779	5.88137	6.09722	6.32561	6.55462	6.75237	6.94988	7.14657	7.34187	7.5352	7.72599	7.91368	8.09772	8.27756	8.45268	8.62254	8.78665	8.9445	9.09561	9.23951	9.37576	9.50391	9.62354	9.73424	9.83562	9.92729	10.0089	10.0801	10.1405	10.1898	10.2277
11.4353	11.3569	11.2645	11.1586	11.0393	10.9072	10.7627	10.606	10.4378	10.2583	10.0682	9.86789	9.65791	9.43882	9.21121	8.9757	8.73293	8.4836	8.22843	7.96817	7.70364	7.43568	7.16517	6.89303	6.62023	6.37517	6.16173	5.95574	5.75728	5.56644	5.3833	5.20795	5.04044	4.88087	4.72929	4.58578	4.45039	4.32319	4.20423	4.09359	3.99131	3.89745	3.81208	3.73526	3.66704	3.60748	3.55664	3.5146	3.48142	3.45717	3.44192	3.43574	3.43872	3.45095	3.4725	3.50347	3.54397	3.59409	3.65395	3.72366	3.80335	3.89315	3.9932	4.10364	4.22462	4.35632	4.49889	4.65254	4.81743	4.99379	5.18181	5.38172	5.59376	5.81817	6.05521	6.30515	6.54158	6.7525	6.96208	7.16974	7.37488	7.57692	7.7753	7.96944	8.15881	8.34286	8.52107	8.69294	8.85796	9.01568	9.16561	9.30732	9.44037	9.56435	9.67886	9.78352	9.87795	9.9618	10.0347	10.0964	10.1465
11.3195	11.2267	11.1196	10.9988	10.8646	10.7172	10.5573	10.3851	10.2011	10.0058	9.79959	9.58305	9.35669	9.12107	8.87679	8.62448	8.36479	8.09844	7.82615	7.54872	7.26697	6.98177	6.69404	6.41202	6.18276	5.96081	5.74627	5.53922	5.33976	5.14796	4.9639	4.78766	4.6193	4.4589	4.3065	4.16219	4.026	3.89801	3.77826	3.66681	3.56372	3.46904	3.38282	3.30511	3.23598	3.17547	3.12365	3.08057	3.0463	3.02091	3.00445	2.99701	2.99866	3.00947	3.02954	3.05894	3.09779	3.14616	3.20418	3.27195	3.3496	3.43724	3.53503	3.64308	3.76157	3.89064	4.03047	4.18122	4.3431	4.5163	4.70102	4.89748	5.10592	5.32658	5.55971	5.80557	6.06445	6.33664	6.56801	6.79038	7.01024	7.22698	7.44003	7.6488	7.85273	8.05126	8.24386	8.43001	8.60921	8.78096	8.94479	9.10026	9.24693	9.38436	9.51217	9.62996	9.73736	9.83401	9.91957	9.9937	10.0561
11.1932	11.0858	10.964	10.8282	10.6788	10.5161	10.3406	10.1527	9.95277	9.74133	9.51885	9.28584	9.04283	8.7904	8.52915	8.25971	7.98276	7.69901	7.40922	7.11419	6.81477	6.51185	6.24499	6.00738	5.77705	5.55409	5.3386	5.13066	4.93036	4.73776	4.55294	4.37597	4.20691	4.04583	3.89278	3.74781	3.61099	3.48235	3.36197	3.24987	3.14612	3.05075	2.96383	2.8854	2.81551	2.7542	2.70155	2.65759	2.62239	2.59601	2.57851	2.56997	2.57044	2.58	2.59874	2.62675	2.6641	2.71089	2.76724	2.83324	2.90902	2.99469	3.09038	3.19624	3.31241	3.43904	3.57631	3.72437	3.88343	4.05366	4.23528	4.4285	4.63355	4.85066	5.08009	5.3221	5.57696	5.84497	6.12643	6.39769	6.63264	6.86446	7.09253	7.31625	7.53506	7.74837	7.95564	8.15634	8.34994	8.53596	8.71392	8.88335	9.04381	9.19487	9.33613	9.46719	9.58769	9.69725	9.79555	9.88223	9.957
