{{ 1 , 0 , 0 , 1 , 2.405 },
{ 2 , 1 , 0 , 2 , 5.52 },
{ 3 , 2 , 0 , 3 , 8.654 },
{ 4 , 3 , 0 , 4 , 11.792 },
{ 5 , 4 , 0 , 5 , 14.931 },
{ 6 , 5 , 0 , 6 , 18.071 },
{ 7 , 6 , 0 , 7 , 21.212 },
{ 8 , 7 , 0 , 8 , 24.353 },
{ 9 , 8 , 0 , 9 , 27.494 },
{ 101 , 9 , 1 , 1 , 3.832 },
{ 102 , 10 , 1 , 2 , 7.016 },
{ 103 , 11 , 1 , 3 , 10.173 },
{ 104 , 12 , 1 , 4 , 13.323 },
{ 105 , 13 , 1 , 5 , 16.47 },
{ 106 , 14 , 1 , 6 , 19.616 },
{ 107 , 15 , 1 , 7 , 22.76 },
{ 108 , 16 , 1 , 8 , 25.903 },
{ 109 , 17 , 1 , 9 , 29.047 },
{ 201 , 18 , 2 , 1 , 5.135 },
{ 202 , 19 , 2 , 2 , 8.147 },
{ 203 , 20 , 2 , 3 , 11.62 },
{ 204 , 21 , 2 , 4 , 14.796 },
{ 205 , 22 , 2 , 5 , 17.96 },
{ 206 , 23 , 2 , 6 , 21.117 },
{ 207 , 24 , 2 , 7 , 24.27 },
{ 208 , 25 , 2 , 8 , 27.421 },
{ 209 , 26 , 2 , 9 , 30.571 },
{ 301 , 27 , 3 , 1 , 6.379 },
{ 302 , 28 , 3 , 2 , 9.76 },
{ 303 , 29 , 3 , 3 , 13.017 },
{ 304 , 30 , 3 , 4 , 16.224 },
{ 305 , 31 , 3 , 5 , 19.41 },
{ 306 , 32 , 3 , 6 , 22.583 },
{ 307 , 33 , 3 , 7 , 25.749 },
{ 308 , 34 , 3 , 8 , 28.909 },
{ 309 , 35 , 3 , 9 , 32.05 },
{ 401 , 36 , 4 , 1 , 7.586 },
{ 402 , 37 , 4 , 2 , 11.064 },
{ 403 , 38 , 4 , 3 , 14.373 },
{ 404 , 39 , 4 , 4 , 17.616 },
{ 405 , 40 , 4 , 5 , 20.827 },
{ 406 , 41 , 4 , 6 , 24.018 },
{ 407 , 42 , 4 , 7 , 27.2 },
{ 408 , 43 , 4 , 8 , 30.371 },
{ 409 , 44 , 4 , 9 , 33.512 },
{ 501 , 45 , 5 , 1 , 8.78 },
{ 502 , 46 , 5 , 2 , 12.339 },
{ 503 , 47 , 5 , 3 , 15.7 },
{ 504 , 48 , 5 , 4 , 18.982 },
{ 505 , 49 , 5 , 5 , 22.22 },
{ 506 , 50 , 5 , 6 , 25.431 },
{ 507 , 51 , 5 , 7 , 28.628 },
{ 508 , 52 , 5 , 8 , 31.813 },
{ 509 , 53 , 5 , 9 , 34.983 }}
