File Name: WavefrontEntireData.txt
ROI Dimension, mm: 20
Pupil Radius, mm: 5
Array Dimension: 50
Width, mm: 20
Mesh Size, mm: 0.4
Wavelength, nm: 685
Phase Data, micrometers (below)
-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
14	5.6	0	0	0	1.20075	3.61944	5.69955	7.4495	8.87869	9.99759	10.8179	11.3526	11.6163	11.6253	11.3981	10.9561	10.324	9.53172	8.61534	7.6191	6.59632	5.81089	5.16094	4.63971	4.25151	4.00045	3.89085	3.92761	4.11658	4.46497	4.9817	5.67779	6.55462	7.34187	8.09772	8.78665	9.37576	9.83562	10.1405	10.2682	10.1997	9.91865	9.41112	8.66491	7.66948	6.41557	4.89506	3.10076	1.0263	0	0	0	
15	6	0	0	0	2.39655	4.6827	6.62107	8.21954	9.48698	10.4334	11.07	11.4095	11.4662	11.2563	10.7982	10.1133	9.22668	8.16902	6.97836	5.84894	4.93901	4.15065	3.4883	2.9555	2.55525	2.29042	2.16413	2.18011	2.34309	2.6592	3.1363	3.78444	4.61617	5.64696	6.73342	7.65705	8.47361	9.15133	9.66322	9.98661	10.1025	9.99481	9.65002	9.05646	8.20413	7.08431	5.68942	4.01279	2.04858	0	0	0	
16	6.4	0	0	0.895922	3.41918	5.57885	7.38121	8.83347	9.94377	10.7214	11.1771	11.3227	11.172	10.7407	10.0468	9.11119	7.95859	6.6194	5.38371	4.34477	3.42613	2.63221	1.96619	1.43038	1.02663	0.75666	0.622486	0.626784	0.773274	1.0671	1.51521	2.12675	2.91341	3.88987	5.0741	6.37312	7.43165	8.33732	9.06266	9.58525	9.88673	9.95185	9.76787	9.32399	8.61096	7.62084	6.34673	4.78263	2.92329	0.76411	0	0	
17	6.8	0	0	1.87186	4.2852	6.32609	8.00006	9.31345	10.2736	10.8888	11.1689	11.1248	10.7696	10.1179	9.18689	7.9964	6.57011	5.18828	4.02419	2.97957	2.05925	1.26645	0.60321	0.070725	-0.330236	-0.598968	-0.734446	-0.734941	-0.597638	-0.318259	0.109322	0.69346	1.44512	2.37826	3.5102	4.86203	6.29644	7.43658	8.37805	9.09973	9.58462	9.81886	9.79093	9.49117	8.91136	8.04448	6.88448	5.42611	3.66483	1.59667	0	0	
18	7.2	0	0	2.69776	5.01039	6.94192	8.49702	9.6811	10.5004	10.9624	11.0754	10.8495	10.2963	9.42926	8.26417	6.81951	5.26568	3.97815	2.80915	1.7643	0.847302	0.0602953	-0.59573	-1.12057	-1.51442	-1.77749	-1.90964	-1.90997	-1.77647	-1.50562	-1.092	-0.527942	0.196898	1.09588	2.18578	3.48716	5.02479	6.49654	7.65153	8.5674	9.22934	9.62533	9.74546	9.58145	9.12629	8.37402	7.31953	5.95844	4.28693	2.30174	0	0	
19	7.6	0	0.771766	3.38685	5.60939	7.44262	8.89031	9.95686	10.6474	10.9681	10.9261	10.5299	9.78958	8.71696	7.32614	5.63373	4.21052	2.91709	1.74739	0.705983	-0.204457	-0.98275	-1.62884	-2.14343	-2.52755	-2.78223	-2.90809	-2.90497	-2.77155	-2.50494	-2.10034	-1.55064	-0.846031	0.026372	1.0829	2.34372	3.83323	5.56697	6.92617	8.02575	8.85363	9.4	9.65677	9.61719	9.27557	8.62709	7.66764	6.39371	4.8023	2.8908	0.656972	0	
20	8	0	1.40724	3.95094	6.09535	7.84291	9.19647	10.1594	10.7358	10.9303	10.7487	10.1978	9.28586	8.02274	6.4204	4.7262	3.30777	2.01178	0.844074	-0.191724	-1.09384	-1.86197	-2.49689	-3.00005	-3.37326	-3.61823	-3.73626	-3.72779	-3.59209	-3.3268	-2.92763	-2.38791	-1.69826	-0.846162	0.184378	1.41324	2.86455	4.5671	6.24344	7.51035	8.48823	9.16956	9.54815	9.61879	9.37714	8.81954	7.94288	6.74453	5.22222	3.37405	1.19835	0	
21	8.4	0	1.91562	4.40024	6.47964	8.15552	9.4299	10.3052	10.7842	10.8705	10.5682	9.88229	8.81909	7.3862	5.59306	3.9858	2.56206	1.26558	0.101328	-0.927914	-1.82117	-2.57889	-3.20255	-3.69431	-4.05658	-4.29168	-4.40145	-4.38685	-4.24762	-3.98183	-3.58556	-3.05252	-2.3736	-1.53658	-0.525669	0.678817	2.10087	3.76917	5.64042	7.0528	8.16024	8.9574	9.43984	9.60388	9.44644	8.96497	8.15729	7.02159	5.55632	3.76018	1.63204	0	
22	8.8	0	2.30446	4.7431	6.77157	8.39093	9.60247	10.4077	10.8084	10.8069	10.4059	9.60859	8.41929	6.84317	4.95414	3.40226	1.97502	0.679141	-0.48117	-1.50387	-2.38866	-3.13664	-3.74991	-4.23116	-4.58335	-4.80929	-4.91125	-4.89059	-4.7474	-4.48009	-4.08503	-3.55613	-2.88451	-2.05809	-1.06121	0.125754	1.52676	3.17048	5.09071	6.67923	7.89197	8.7826	9.34828	9.58666	9.49584	9.0742	8.32044	7.23344	5.81228	4.05616	1.96441	0	
23	9.2	0	2.57956	4.98594	6.9783	8.5572	9.72331	10.4774	10.8205	10.7538	10.2787	9.397	8.11106	6.42378	4.53392	2.97551	1.54585	0.250969	-0.905613	-1.92246	-2.79985	-3.53944	-4.14379	-4.61608	-4.95968	-5.17775	-5.27292	-5.24684	-5.09985	-4.83056	-4.43551	-3.90876	-3.24151	-2.42171	-1.43373	-0.257894	1.12982	2.7582	4.66119	6.40966	7.70031	8.65946	9.2856	9.57754	9.5343	9.15509	8.43926	7.38628	5.99568	4.2671	2.20022	0	
