File Name: MembranePDE_ROISolution.txt
Array Dimension: 50
Stress, MPa 7
Thickness, um 1
Gap Distance, um 25
Width, mm 20
Bias, V 0
ROIDimension, mm 20
Mesh Size, mm 0.4
Membrane Tension, MKS 7
Peak Deflection, um 0
Membrane Deflection data, um (below) 
-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
13	5.2	0	0	0	0	0.0981965	0.193864	0.279981	0.356989	0.4252	0.484744	0.535521	0.577157	0.608992	0.630114	0.639483	0.636173	0.619765	0.590875	0.551707	0.506442	0.461132	0.422805	0.414331	0.420236	0.420223	0.417108	0.413976	0.414372	0.422492	0.419448	0.384942	0.337431	0.28019	0.216541	0.149567	0.082085	0.0167119	-0.0440947	-0.098028	-0.142954	-0.176942	-0.198288	-0.205524	-0.197417	-0.172952	-0.131315	-0.0718622	0	0	0	0	
14	5.6	0	0	0	0.0457603	0.139242	0.221894	0.294312	0.357032	0.410484	0.454939	0.49045	0.516795	0.533429	0.539495	0.533913	0.515618	0.484017	0.439657	0.385073	0.325525	0.347277	0.361504	0.364715	0.359062	0.346601	0.329492	0.310182	0.2916	0.277346	0.271883	0.280727	0.304675	0.246458	0.180844	0.111479	0.0414902	-0.0263108	-0.0893212	-0.145123	-0.19151	-0.226516	-0.248441	-0.255852	-0.247572	-0.222653	-0.180353	-0.1201	-0.0414647	0	0	0	
15	6	0	0	0	0.0851939	0.166743	0.236607	0.295425	0.343804	0.382277	0.411249	0.43093	0.44126	0.441837	0.431874	0.410239	0.375658	0.327174	0.264975	0.253232	0.28823	0.308634	0.316664	0.314087	0.302409	0.283065	0.25761	0.227911	0.196333	0.165937	0.140663	0.125527	0.126808	0.15224	0.142504	0.0711857	-0.000874494	-0.0707248	-0.135619	-0.193015	-0.240618	-0.276426	-0.298745	-0.306182	-0.297623	-0.272192	-0.229222	-0.168211	-0.0887927	0	0	0	
16	6.4	0	0	0.0299634	0.113398	0.18356	0.24109	0.286645	0.320879	0.344405	0.357746	0.361267	0.355084	0.338967	0.312241	0.273749	0.221958	0.155352	0.171375	0.217247	0.247889	0.265512	0.271707	0.26763	0.254201	0.232283	0.202886	0.167346	0.127522	0.0859881	0.0462181	0.0127812	-0.00846912	-0.0102041	0.016571	0.0322143	-0.0415114	-0.113184	-0.179849	-0.238778	-0.28756	-0.324144	-0.346845	-0.354322	-0.345529	-0.31967	-0.276155	-0.214551	-0.13455	-0.0359427	0	0	
17	6.8	0	0	0.0591126	0.132907	0.192444	0.238335	0.271231	0.2918	0.300709	0.298575	0.285903	0.262998	0.229838	0.185932	0.130184	0.0608465	0.07366	0.132335	0.175369	0.20517	0.223354	0.230937	0.228521	0.216487	0.195189	0.16514	0.127203	0.0827865	0.0340287	-0.0160068	-0.0631426	-0.101897	-0.125291	-0.12466	-0.0894646	-0.0759887	-0.149726	-0.218485	-0.279264	-0.329497	-0.36709	-0.390384	-0.398107	-0.389298	-0.363252	-0.319456	-0.257549	-0.17728	-0.0784807	0	0	
18	7.2	0	0	0.0809078	0.146049	0.195934	0.231126	0.252239	0.259927	0.254874	0.237758	0.209203	0.169695	0.119458	0.0582771	-0.0147244	-0.0383957	0.0339376	0.0901578	0.133075	0.164536	0.185617	0.196809	0.198216	0.189739	0.171271	0.142886	0.10503	0.0587101	0.00568874	-0.0513288	-0.108502	-0.160666	-0.201138	-0.221531	-0.211558	-0.158844	-0.176207	-0.248042	-0.31147	-0.36379	-0.402902	-0.427224	-0.435588	-0.427148	-0.401298	-0.357615	-0.295808	-0.215679	-0.117102	0	0	
19	7.6	0	0.0229166	0.0972297	0.154865	0.196262	0.221918	0.232385	0.228272	0.210242	0.178992	0.135224	0.0795791	0.012537	-0.0657596	-0.155768	-0.076017	-0.00663069	0.0492397	0.0938765	0.128619	0.154056	0.170214	0.176748	0.173136	0.158864	0.133622	0.0974904	0.0511342	-0.00400884	-0.0655362	-0.12989	-0.192168	-0.245929	-0.283006	-0.293315	-0.264661	-0.189151	-0.265744	-0.333066	-0.388396	-0.429748	-0.455696	-0.465236	-0.457667	-0.432504	-0.389419	-0.328193	-0.248682	-0.150795	-0.0344801	0	
20	8	0	0.0407036	0.109642	0.161044	0.195274	0.212744	0.213928	0.199362	0.16965	0.125458	0.0675069	-0.00346141	-0.0867525	-0.181846	-0.19507	-0.112809	-0.0447044	0.0121645	0.0596069	0.0985097	0.129028	0.150777	0.163021	0.164865	0.155446	0.134122	0.100665	0.0554496	-0.000355068	-0.0645952	-0.133941	-0.203698	-0.267612	-0.317684	-0.343974	-0.334416	-0.274621	-0.270331	-0.342946	-0.402277	-0.446623	-0.474831	-0.486118	-0.479963	-0.456018	-0.414052	-0.353917	-0.27552	-0.178804	-0.0637386	0	
21	8.4	0	0.0545098	0.11936	0.165889	0.194377	0.205152	0.198592	0.175138	0.1353	0.0796658	0.00890795	-0.0762221	-0.174915	-0.286361	-0.226066	-0.146458	-0.0785986	-0.0200035	0.0307169	0.0740509	0.109776	0.137149	0.155098	0.16241	0.157927	0.140732	0.110339	0.0668897	0.0113378	-0.0543567	-0.127038	-0.202164	-0.273615	-0.333502	-0.37198	-0.377051	-0.33438	-0.262678	-0.341616	-0.405647	-0.453539	-0.4845	-0.498016	-0.493758	-0.471515	-0.431152	-0.372586	-0.295768	-0.200669	-0.0872779	0	
22	8.8	0	0.0651662	0.127246	0.170301	0.194535	0.200185	0.187531	0.156902	0.108691	0.0433663	-0.0385172	-0.136298	-0.249198	-0.344923	-0.254011	-0.176153	-0.107991	-0.0474265	0.0065665	0.0541323	0.0947247	0.127298	0.150496	0.162846	0.162947	0.149659	0.122298	0.0808234	0.0260293	-0.0402639	-0.11502	-0.193795	-0.270547	-0.337447	-0.384685	-0.400282	-0.369898	-0.276643	-0.331169	-0.399956	-0.451512	-0.485423	-0.501437	-0.499398	-0.479213	-0.440828	-0.384211	-0.309346	-0.216228	-0.104856	0	
